Topic,Count,Name,Representation,Representative_Docs
-1,138068,-1_android_app_code_using,"['android', 'app', 'code', 'using', 'file', 'im', 'like', 'activity', 'get', 'want']","['possible change context webview instantiated im loading activity order preloaded pop immediately different launched first problem order instantiate pas case first mentioned work great second show fine problem click dropdown selector dialog show webview feel like select doesnt work hit back button briefly see selection dialog return parent activity seems though append layout second activity modal get attached activity window attached parent activity window show higher point hierarchy possibly change instantiated difficult problem solve create webviews activity started also need selection dialog work please anyone give insight id greatly appreciate sdk project access parent activity also savestate isnt working bulk shown generated javascript full dom stack doesnt transfer', 'install google play app android studio emulator completely new using android studio trying install google play app emulator installed well sdk manager able set google play service sample application would like install google play application emulator done suggestion solution would appreciated also thank much time', 'cant action_view file external storage file android phone external storage emulated case knowing path object representing use open appropriate app first thing tried im sure working one point tested moved another part app always throw file definitely exists return know right file apps volunteer open type file still open way pdf adobe reader selected despite pdf reader installed device set default ive noticed adobe reader also offer open pdf file located online appears alternative downloading pdf chrome suggests adobe reader found match location thought remote though online chrome file downloading apps arent listed alternative ive also tried explicitly stating mime type cause matched right apps however fail actually open file ive tested hardcoded string mime type using passing file extension variety file type correct apps suggested failed open file edit setting mime type explicitly would worked made stupid mistake probably explain answer file ive tried open internet downloaded app aid use feature display notification one finish downloading clicking one notification open file perfectly ive tried find source code fired finished notification clicked luck also apps e file explorer navigate file downloaded open problem wrong simply longer possible action_view file external storage app also downloads file internal storage temporarily still opened issue like working past could updating eclipse sdk tool plugin android sdk stopped original solution working']"
0,14663,0_project_proguard_studio_error,"['project', 'proguard', 'studio', 'error', 'build', 'library', 'file', 'gradle', 'android', 'eclipse']","['fix gradle incompatibility issue importing android sample project android studio driving crazy never serious issue eclipse adt android studio another story able get single project build correctly trying import android sample project suppose correct gradle setting ready imported first error get following ok download gradle change project gradle setting us local gradle distribution instead default gradle wrapper seems included sample project get different error time dont know gradle enough migrate configuration dont really want simply use gradle wrapper without gettting summoned use gradle compatible project solution also welcome note tried sample project android folder get error edit luck trying build linux command line build succeeded regardless set problem seems caused bug android studio', 'android studio gradle build error transformation exception conflict found installation area using android studio version trying run app use work previous version run get follow error build error first solution tried ide informing replace compile buildgradle implementation nothing changed second thought gradle outdated manually downloaded gradle version replaced previous version gradle went gradle folder simply removed copy pasted gradle solution also didnt work getting error last thing tried attempted update plugin version long shot even update failed complete got following message detail image link error message dont know error missing component even mean honest dont understand happening wan na able run app normally worth mentioning working perfectly decided update android studio got hit gradle issue please anyone solution problem would gladly appreciated thanks advance', 'build gradle project android studio im using android studio configured use gradle wrapper build gradle everytime build rebuild project android studio get error clicking error error code buildgradle remove error gone otherwise build project console fine anyone getting problem seems problem android studio know workaround fix would cool']"
1,13471,1_fragment_recyclerview_item_view,"['fragment', 'recyclerview', 'item', 'view', 'listview', 'scroll', 'adapter', 'list', 'layout', 'row']","['add two listview scrollview adding two list view one scroll view listviews contains data problem facing add listviews scroll view show one item list view image xml code want scroll view scroll list view contains item moment list view displaying one item', 'android recyclerview doesnt display item want show item inside recyclerview doesnt show cant see error maybe guy help mainactivityjava recyclerview adapter viewholder item data want put recyclerview doesnt show thanks advance', 'recyclerview item size size layout im trying make nested recyclerview multiple item finishing adatper design going testing got emulator didnt understand item appears like item height width make design layout code recyclerview setup adapter code layout recyclerview item first item second item third item activity layout recyclerview']"
2,9947,2_notification_activity_service_gcm,"['notification', 'activity', 'service', 'gcm', 'app', 'analytics', 'push', 'back', 'intent', 'broadcast']","['receive one notification gcm developing one application receive notification gcm server received notification successfully problem successfully read one notification message notification show one message show ie last data code receive code', 'structure notification system chat app using firebase database firebase notification im developing chat application using firebase database android ive already done core chat user list activity yet notification system want user added conversation single group another user writes new message conversation first user receive notification clicked open conversation activity big dilemma structure service run background receive push notification listen firebase database node need look know message figured two different approach approach use firebase notification approach simply send data notification sender client client conversation sender sends message receiver decide show notification chat activity opened handle click action approach think save cpu consumption battery dont understand register user receive group notification topic notification understood subscribe client topic application background close know new group user inside created subscribe topic twousers conversation scenario problem send notification directly destination user without needing subscribed topic approach listen firebase database data node background service approach need create bootable service listen specific node database valueeventlistener show notification data show new messageconversation coming example node listen data unseen message following data show new messagesconversations android app client decide show system notification think approach energy consumption constantly check new message db final consideration found useful guide written mythical frank van puffelenthat explains set system need using additional server side component nodejs server last question need set server better solution handling everything client using example http request solution think best many thanks edit im still figuring consideration requesting using instanceid instance id provides unique id per instance apps request instanceid user connected instanceid avalaible dont use topic topic message optimized throughput rather latency fast secure delivery single device small group device target message token topic said topic messagin guide instead suggests target message token collect user token user database reference app client send new message also send notification user involved chat thing already current db structure handle collect request implement nodejs server app connect firebase database listens notification request made app sends notification request http call every destination app register user token app client start first time instanceid expire ontokenrefresh right way edit found big hole fcm implementation seems handle notification delivered io apps foreground found data notification documentation io fcm store message delivers app foreground established fcm connection android client app receives data message onmessagereceived handle keyvalue pair accordingly need catch data notification even app background need specifically want update badge counter app icon let user know many unread message im tryng onesignal solution receive notification even background free interface gcm im sad stay google cant update badge count using fcm look side consideration appreciated', 'dispatching notification correct activity problem notification android xamarin scenario class handling inheriting message creating notification object class override method way see message received test application object exists create intent notification object singleton holding information app current activity shown screen way notification clicked last activity top stack current onscreen activity app foreground last onscreen activity app went background come something take care notification called everything working fine except thing let say activity called b c start app receive different notification current activity screen displayed top bar without problem click first asks open another activity catched current activity due notification type say yes transition activity c reached activity c done work click notification clicking carried activity notification handled know problem notify creation use create intent use create time activity question handle second notify click last activity screen activity c instead activity add xamarin tag code c java may sound strange native android developer']"
3,7752,3_image_camera_bitmap_opencv,"['image', 'camera', 'bitmap', 'opencv', 'screen', 'size', 'gallery', 'picasso', 'wallpaper', 'picture']","['android bitmap image size downloading image web use gallery widget display image downloaded image size huge application crash log want scale downloaded image size image size extent crash app written code scale image size sure find bitmap size decide whether scale', 'generate uniform size circle bitmap different size image currently im using code return circular bitmap size image getting different according real image size sample image app first profile image smaller second please help thanks', 'converting image bitmap reducing size look many different method creating reduced size bitmap image none work properly need something different little difficult explain need bitmap keep ratio picture le certain size eg mb equivalent pixel dimension bitmap need added putextra intent problem im far method ive looked create scaled version bitmap image bitmap unscaled bitmap scaled resolution image high scaled enough think solution would create bitmap exact size resolution reduced enough however side effect method would image already le required size resized resizing wont work need check image converted bitmap without resizing idea go help much appreciated im using moment want part currently scaling size anything need explained please say thank']"
4,6474,4_bar_drawer_navigation_menu,"['bar', 'drawer', 'navigation', 'menu', 'progress', 'action', 'seekbar', 'toolbar', 'actionbar', 'layout']","['set navigationdrawer icon right side using appcompatv toolbar widget ive working material design using latest toolbar widget provided appcompactv navigation drawer concern set navigation drawer icon right side toolbar although open navigation drawer right setting navigation icon still appears left side toolbar using old crate custom action bar button right side custom drawer icon click custom navigation drawer icon openclose drawer way set navigation drawer icon right side using toolbar create custom view', 'set onclick listener action bar title android working android application using one navigation drawer icon open title want set click listener title start new set click listener different navigation drawer icon open navigation drawer menu achieved click navigation drawer icon click title title also open navigation drawer menu way set different click listener title thanks advance', 'add custom action bar navigation drawer tried using custom action bar navigation drawer becomes invisible']"
5,6425,5_keyboard_search_edittext_text,"['keyboard', 'search', 'edittext', 'text', 'searchview', 'input', 'focus', 'textview', 'soft', 'autocompletetextview']","['searchview show always use widget searchview work fine search box show always click search icon anyone help make search box show without click search icon', 'android stop keyboard pushing view screen hi edittext button want position bottom screen scrollview imageview top keyboard pop cover edittext currently set manfiest use edittext button move keyboard positioned top keyboard want scrollview get pushed screen way edittext button move keyboard here layout activity', 'hide android soft keyboard open three edittext field field want display soft input keyboard first field disabled later two field sice date time field using code im able disable keyboard field user focus field keyboard appears didnt hide user tap field although field tapped first keyboard appears hide soft input keyboard already open']"
6,5950,6_bluetooth_device_connection_connect,"['bluetooth', 'device', 'connection', 'connect', 'ble', 'wifi', 'usb', 'android', 'connected', 'socket']","['android bluetooth file transfer trying implement file transfer bluetooth using bluetooth chat example come android sdk try connecting two android phone seem always say phone paired connected tedious tried connect different pair phone say thing required device rooted something connect two android phone bluetooth', 'keep bluetooth connection background created bluetooth activity class android app work fine bluetooth functionality like scanning pairing connecting sending receiving data real problem activity destroyed bluetooth disconnecting make bluetooth connection throughout app want send data bluetooth activity help implement easy way', 'mac address bluetooth wifi android device writing program communication android device pc way get mac address bluetooth wifi android device bluetooth wifi turned']"
7,5372,7_animation_tab_fragment_viewpager,"['animation', 'tab', 'fragment', 'viewpager', 'view', 'transition', 'page', 'animate', 'activity', 'pager']","['applying two animation animation xml file would like know possible apply one animation two scale animation xml file let say animationxml apply animation imageview way animation animation instead creating two seperate animation adding animation listener first animation execute animation one finished', 'animation fragment view pager another activity working application using view pager consists diff fragment clicked button fragment want show activity want animation possible yes animation use transition animationlayout animation view animation new animation didnt know please give good link', 'change size fragment tab using viewpager want change size fragment tab way change size fragment tab created using view pager fragment']"
8,5320,8_play_google_purchase_app,"['play', 'google', 'purchase', 'app', 'version', 'inapp', 'billing', 'payment', 'name', 'api']","['play store update directing test app market url im testing version check feature app android client query data server return minimum client version allow access service user running older version directed play store update user date direct play store using code like within app date client directed market url launch play store app load target page app test created special date version app manifest set versioncode lower current version play store also set falsely low versionname trigger update process built signed version app installed using adb play store tested version check trigger get directed play store app app page play store page offer action uninstall open app give option update app doesnt play store offer update button app originally installed play store way around', 'android inapp billing go google play successful purchase implemented android inapp billing successfully app google issued update google play inapp billing take google play application successful purchase happening error something missed', 'error please update google play service android emulator version downloaded sample project requires play service cant change compile version buildgradle lower version followed question android studio google play service update google play service android studio emulator updating google play service emulator also downloaded latest google play service install necessary sdks clean build project sync gradle use api api emulator none work play service still using screenshots android studio setting']"
